latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
45.28028,-66.01587,300.2,0.47,0.4,2018-09-07,0606,N,nominal,1.0NRT,277.2,1.1,N
45.8405,-73.24905,317.5,0.34,0.56,2018-09-07,0606,N,nominal,1.0NRT,283.6,1.6,N
45.83552,-73.25401,300.9,0.34,0.56,2018-09-07,0606,N,nominal,1.0NRT,281.5,1.1,N
45.8353,-73.24953,311,0.34,0.56,2018-09-07,0606,N,nominal,1.0NRT,284,1.1,N
45.64423,-73.52267,299.2,0.35,0.56,2018-09-07,0606,N,nominal,1.0NRT,286.2,0.5,N
40.32856,-79.90977,297.5,0.67,0.74,2018-09-07,0606,N,nominal,1.0NRT,276.9,0.5,N
39.9696,-75.82207,300.7,0.41,0.61,2018-09-07,0606,N,nominal,1.0NRT,285.9,0.6,N
39.94237,-76.81844,300.5,0.46,0.64,2018-09-07,0606,N,nominal,1.0NRT,286.5,1.6,N
37.42849,-76.94378,305.4,0.45,0.63,2018-09-07,0606,N,nominal,1.0NRT,290.4,0.6,N
37.3807,-80.66366,304.7,0.72,0.75,2018-09-07,0606,N,nominal,1.0NRT,287.2,1.4,N
36.89157,-78.64243,302.1,0.55,0.68,2018-09-07,0606,N,nominal,1.0NRT,289.6,0.7,N
36.74001,-81.17603,301.5,0.76,0.77,2018-09-07,0606,N,nominal,1.0NRT,276,1,N
36.73278,-81.177,299,0.76,0.77,2018-09-07,0606,N,nominal,1.0NRT,278.2,0.7,N
36.35458,-76.80781,317.1,0.43,0.62,2018-09-07,0606,N,nominal,1.0NRT,289.8,1.9,N
35.71525,-79.12046,306.3,0.58,0.69,2018-09-07,0606,N,nominal,1.0NRT,288.1,0.6,N
35.7163,-79.1216,304.5,0.58,0.69,2018-09-07,0606,N,nominal,1.0NRT,288.4,0.8,N
35.50196,-80.33504,302.4,0.67,0.74,2018-09-07,0606,N,nominal,1.0NRT,287.5,1.2,N
34.37426,-79.88904,300.1,0.62,0.72,2018-09-07,0606,N,nominal,1.0NRT,286.8,1.1,N
34.37828,-79.89139,299.9,0.62,0.72,2018-09-07,0606,N,nominal,1.0NRT,287.1,0.7,N
33.96049,-81.0537,307.7,0.72,0.76,2018-09-07,0606,N,nominal,1.0NRT,286.6,2.2,N
33.01505,-79.88612,309.2,0.61,0.71,2018-09-07,0606,N,nominal,1.0NRT,290.2,2.1,N
33.01187,-79.8876,314.8,0.61,0.71,2018-09-07,0606,N,nominal,1.0NRT,290,1.3,N
33.00494,-79.88121,303.4,0.61,0.71,2018-09-07,0606,N,nominal,1.0NRT,290.3,1.3,N
27.72822,-81.99876,303.8,0.74,0.76,2018-09-07,0606,N,nominal,1.0NRT,284.2,3.5,N
48.18818,-64.922,297.1,0.47,0.39,2018-09-07,0600,N,nominal,1.0NRT,282.8,0.8,N
46.57943,-80.80037,296.5,0.77,0.78,2018-09-07,0600,N,nominal,1.0NRT,280.6,2.1,N
46.57967,-80.79026,295.5,0.77,0.78,2018-09-07,0600,N,nominal,1.0NRT,279.5,2.1,N
46.58008,-80.79282,301.5,0.77,0.78,2018-09-07,0600,N,nominal,1.0NRT,279.9,2.4,N
46.57277,-80.793,306.3,0.77,0.78,2018-09-07,0600,N,nominal,1.0NRT,280.8,2.4,N
46.04509,-73.14474,296.5,0.33,0.56,2018-09-07,0600,N,nominal,1.0NRT,276.7,1.5,N
19.56492,-71.00857,305.5,0.42,0.38,2018-09-07,0612,N,nominal,1.0NRT,291.1,1.1,N
18.92898,-70.35232,329.1,0.4,0.37,2018-09-07,0612,N,nominal,1.0NRT,286.5,3.5,N
18.92954,-70.3561,315.6,0.4,0.37,2018-09-07,0612,N,nominal,1.0NRT,284.2,3.5,N
18.92561,-70.35282,330.8,0.4,0.37,2018-09-07,0612,N,nominal,1.0NRT,285.2,3.5,N
18.92618,-70.35661,308.4,0.4,0.37,2018-09-07,0612,N,nominal,1.0NRT,283.4,3.5,N
18.50858,-69.34135,300.3,0.38,0.36,2018-09-07,0612,N,nominal,1.0NRT,284.6,0.5,N
20.94544,-89.66284,313.5,0.51,0.41,2018-09-07,0754,N,nominal,1.0NRT,292.7,1.9,N
20.50328,-97.59538,301.3,0.48,0.4,2018-09-07,0754,N,nominal,1.0NRT,274.2,0.6,N
20.46301,-97.54638,299.1,0.47,0.4,2018-09-07,0754,N,nominal,1.0NRT,272.6,0.9,N
20.45949,-97.54456,297.6,0.47,0.4,2018-09-07,0754,N,nominal,1.0NRT,271.6,0.5,N
19.56619,-92.23805,343.9,0.41,0.37,2018-09-07,0754,N,nominal,1.0NRT,291.4,7.3,N
19.56554,-92.23415,307,0.41,0.37,2018-09-07,0754,N,nominal,1.0NRT,291,7.3,N
19.52332,-92.18863,336.8,0.41,0.37,2018-09-07,0754,N,nominal,1.0NRT,291,5.6,N
19.5181,-92.15732,323.6,0.41,0.37,2018-09-07,0754,N,nominal,1.0NRT,291.5,2.2,N
19.51744,-92.1534,306.8,0.41,0.37,2018-09-07,0754,N,nominal,1.0NRT,290.8,2.2,N
19.44149,-92.03783,319.6,0.42,0.37,2018-09-07,0754,N,nominal,1.0NRT,289.3,2.5,N
19.43739,-92.03452,319.8,0.42,0.37,2018-09-07,0754,N,nominal,1.0NRT,289.6,2.7,N
19.43106,-92.08052,309.1,0.42,0.37,2018-09-07,0754,N,nominal,1.0NRT,287,1.1,N
19.42696,-92.07722,305.9,0.42,0.37,2018-09-07,0754,N,nominal,1.0NRT,287.8,1.6,N
19.39966,-92.04165,306.4,0.42,0.37,2018-09-07,0754,N,nominal,1.0NRT,287.4,2.3,N
19.39623,-92.04229,332.9,0.42,0.37,2018-09-07,0754,N,nominal,1.0NRT,288.5,2.3,N
19.39691,-92.04101,334,0.42,0.38,2018-09-07,0754,N,nominal,1.0NRT,288.9,6.7,N
19.39348,-92.04166,335,0.42,0.38,2018-09-07,0754,N,nominal,1.0NRT,290.3,6.7,N
19.39414,-92.04562,310.4,0.42,0.37,2018-09-07,0754,N,nominal,1.0NRT,288,7.6,N
19.36622,-92.00594,325.5,0.42,0.38,2018-09-07,0754,N,nominal,1.0NRT,289.7,3.1,N
19.30107,-92.19994,313.3,0.41,0.37,2018-09-07,0754,N,nominal,1.0NRT,287,1.7,N
19.29306,-92.17314,331.3,0.41,0.37,2018-09-07,0754,N,nominal,1.0NRT,289,5.6,N
19.24346,-92.25509,329.2,0.41,0.37,2018-09-07,0754,N,nominal,1.0NRT,290.4,2.8,N
19.2428,-92.25118,326.7,0.41,0.37,2018-09-07,0754,N,nominal,1.0NRT,290.4,2.8,N
19.24005,-92.25573,311.8,0.41,0.37,2018-09-07,0754,N,nominal,1.0NRT,290,1.7,N
19.23939,-92.25182,312.8,0.41,0.37,2018-09-07,0754,N,nominal,1.0NRT,290.1,1.7,N
18.87113,-92.62358,338.1,0.41,0.37,2018-09-07,0754,N,nominal,1.0NRT,291.9,11.8,N
18.87177,-92.6274,308.3,0.41,0.37,2018-09-07,0754,N,nominal,1.0NRT,290.4,3.4,N
18.87049,-92.61976,306.9,0.41,0.37,2018-09-07,0754,N,nominal,1.0NRT,290.5,11.8,N
18.86774,-92.62421,338,0.41,0.37,2018-09-07,0754,N,nominal,1.0NRT,290.7,5,N
19.34428,-96.7046,301.9,0.43,0.38,2018-09-07,0754,N,nominal,1.0NRT,287.4,0.6,N
18.64685,-92.39339,306.1,0.41,0.37,2018-09-07,0754,N,nominal,1.0NRT,288.4,1.2,N
19.18147,-96.23474,316.2,0.41,0.37,2018-09-07,0754,N,nominal,1.0NRT,290.5,1.5,N
18.9684,-97.96359,311.8,0.48,0.4,2018-09-07,0754,N,nominal,1.0NRT,286.4,1.9,N
18.87089,-97.65968,296.2,0.46,0.39,2018-09-07,0754,N,nominal,1.0NRT,277.8,1.1,N
18.21822,-93.89307,305.4,0.39,0.36,2018-09-07,0754,N,nominal,1.0NRT,292.7,0.7,N
18.20593,-94.00739,319,0.39,0.36,2018-09-07,0754,N,nominal,1.0NRT,292.8,5.2,N
18.20262,-94.00798,331.5,0.39,0.36,2018-09-07,0754,N,nominal,1.0NRT,294.3,5.2,N
18.13192,-94.20259,323.3,0.38,0.36,2018-09-07,0754,N,nominal,1.0NRT,291.7,1.7,N
18.10884,-94.39631,340.5,0.38,0.36,2018-09-07,0754,N,nominal,1.0NRT,293.9,6.2,N
18.10083,-94.34567,322.1,0.38,0.36,2018-09-07,0754,N,nominal,1.0NRT,293.3,2.3,N
17.91397,-93.3766,305.1,0.39,0.37,2018-09-07,0754,N,nominal,1.0NRT,287.3,1.4,N
17.9136,-93.52113,308.4,0.39,0.36,2018-09-07,0754,N,nominal,1.0NRT,287.2,1.2,N
17.91027,-93.52172,333.7,0.39,0.36,2018-09-07,0754,N,nominal,1.0NRT,288.2,3.9,N
17.97974,-94.11716,322.7,0.39,0.36,2018-09-07,0754,N,nominal,1.0NRT,287,2.4,N
17.98991,-94.52423,323.9,0.38,0.36,2018-09-07,0754,N,nominal,1.0NRT,294.1,2.6,N
17.98444,-94.5326,308.7,0.38,0.36,2018-09-07,0754,N,nominal,1.0NRT,295.2,1.9,N
17.98387,-94.52898,313.3,0.38,0.36,2018-09-07,0754,N,nominal,1.0NRT,294.3,2,N
17.97669,-94.52651,317.9,0.38,0.36,2018-09-07,0754,N,nominal,1.0NRT,294.2,2.1,N
17.97225,-94.51986,309.1,0.38,0.36,2018-09-07,0754,N,nominal,1.0NRT,293.8,2,N
17.79934,-93.9429,316,0.39,0.36,2018-09-07,0754,N,nominal,1.0NRT,286.7,0.6,N
43.63498,-104.55643,297.5,0.64,0.72,2018-09-07,0748,N,nominal,1.0NRT,283,1.2,N
39.58593,-75.63583,306.9,0.4,0.6,2018-09-07,0748,N,nominal,1.0NRT,288.6,1.6,N
43.49614,-105.40084,299.9,0.7,0.75,2018-09-07,0748,N,nominal,1.0NRT,283,1.8,N
43.49868,-105.39683,300.6,0.7,0.75,2018-09-07,0748,N,nominal,1.0NRT,282.4,1.6,N
40.39428,-79.85516,301.4,0.48,0.48,2018-09-07,0748,N,nominal,1.0NRT,274.4,2.1,N
39.55983,-77.17106,298.9,0.34,0.56,2018-09-07,0748,N,nominal,1.0NRT,269.2,0.5,N
42.84778,-105.21122,296.1,0.69,0.74,2018-09-07,0748,N,nominal,1.0NRT,281.6,0.6,N
